	TCGA-A2-A0YJ-01	TCGA-E2-A14Z-01	TCGA-AO-A0J7-01	TCGA-AO-A03M-01	TCGA-BH-A18M-01	TCGA-BH-A28Q-01	TCGA-A8-A08O-01	TCGA-C8-A130-01	TCGA-BH-A8FY-01	TCGA-AO-A125-01	TCGA-E2-A10B-01	TCGA-AN-A0XO-01	TCGA-AO-A1KT-01	TCGA-E2-A15H-01	TCGA-D8-A27W-01	TCGA-AO-A0JI-01	TCGA-BH-A0C3-01	TCGA-A8-A09Q-01	TCGA-AR-A250-01	TCGA-E9-A22G-01	TCGA-BH-A201-01	TCGA-E2-A1L6-01	TCGA-AN-A0FY-01
AARSD1	683	928	2045	1184	1348	1835	1339	2007	1977	1605	1492	1988	2504	861	3941	985	1141	1204	2541	1127	1617	1463	1604
AARS	16990	6701	6065	19619	5301	7177	5312	7807	3649	2588	11886	6879	23010	7796	33132	6097	4576	8568	15723	10798	12507	4852	22770
AASDHPPT	2519	2187	3152	4879	2102	2797	2161	1075	721	1868	2966	3315	2040	2930	4060	4528	1587	4846	4196	1632	2446	3239	4729
AASDH	403	661	598	1512	1121	1893	1088	811	565	1130	1081	1009	1015	727	1645	1273	625	893	1168	1436	1171	1294	770
AASS	62	326	211	441	652	1825	683	371	367	1830	232	549	371	383	519	328	1271	206	803	652	775	1680	234
AATF	6475	3345	6479	2599	3105	4015	2770	7334	2518	2830	3494	4682	5860	2208	9530	4773	3223	4798	3356	3356	4033	2695	3189
AATK	49	47	79	81	85	202	86	106	282	545	362	363	555	85	435	871	49	197	162	113	679	110	73
ABAT	115	1073	10032	6878	11975	11151	6301	721	1527	13329	8177	2286	813	10688	766	1070	12188	771	1273	173	3804	10798	2561
ABCA10	0	35	6	25	141	170	102	69	28	4	31	21	8	28	13	52	404	35	7	122	34	221	25
ABCA11P	120	126	220	642	418	603	329	659	335	589	293	508	187	216	295	235	260	140	244	214	321	356	405
ABCA12	174	482	3	10206	1052	1820	18	272	305	1280	260	1713	1317	21	11	9	829	7	5908	31	4933	242	11
ABCA13	1141	76	2	13	5	6	5	3	1	0	1	8	2	15	13	1	7	1	2	98	2	48	1
ABCA17P	47	44	12	111	24	29	19	62	42	68	28	57	18	9	72	74	18	12	5	127	6	12	75
ABCA1	722	1518	3099	2648	2584	3368	3008	905	1360	648	5178	3251	1655	1792	3794	570	5629	4104	4221	758	2769	2679	4268
ABCA2	2025	1853	3984	5674	4925	7708	2101	3244	4158	4243	7679	5286	4168	6346	4698	3945	3225	3400	3708	3079	2652	3011	3550
ABCA3	6346	2969	3702	5758	12257	8401	5514	2700	1924	3685	10140	13210	7209	9565	15092	9596	4619	8663	5682	1790	3607	5801	10130
ABCA4	233	79	11	208	630	38	105	39	154	63	54	93	351	989	3	47	29	12	46	3	108	997	13
ABCA5	103	419	352	839	595	1533	808	889	885	502	506	328	498	868	947	1585	930	315	584	959	1335	953	2768
ABCA6	6	262	36	436	795	656	371	189	21	0	283	121	136	179	324	232	1323	747	412	18	264	609	172
ABCA7	1828	1558	346	904	789	535	329	477	1257	1118	1545	725	691	258	961	1219	1008	581	558	498	996	1272	1034
ABCA8	0	149	30	429	1508	1064	860	143	40	3	481	120	29	126	337	463	3350	396	32	2	237	857	143
ABCA9	1	293	31	361	857	793	496	279	26	4	137	55	64	101	166	127	2171	191	108	28	175	509	180
ABCB10	2080	730	1665	1659	1942	3476	1196	956	656	1535	2430	2438	796	1724	2354	2054	2317	2065	1994	2255	2229	1879	2825
ABCB11	0	0	10	1	0	13	83	1	0	0	1	9	1	0	4	11	12	1	1	0	0	748	0
ABCB1	5	366	41	518	690	227	208	193	72	12	154	66	166	129	297	572	551	263	182	43	454	609	103
ABCB4	8	50	16	75	23	45	52	32	59	21	97	57	254	90	176	32	86	65	303	12	74	60	124
ABCB5	1	25	2	36	89	59	13	5	2	0	2	15	0	12	13	6	69	2	9	4	66	39	6
ABCB6	975	1299	1156	4353	1494	3157	591	2075	1108	876	132	937	2561	1417	2429	62	1946	2767	2469	1503	1034	734	1453
ABCB7	884	1010	1617	1049	660	2088	1355	618	947	1167	1589	922	1749	1284	1375	1156	1175	1621	1295	1395	927	1505	1913
ABCB8	869	1995	1284	4710	2302	2926	1583	3109	1476	2328	2410	2579	3349	2237	3010	2660	2956	1350	2296	1929	1732	2133	1624
ABCB9	602	305	1403	1087	957	374	254	571	261	172	922	515	1003	533	873	799	527	450	791	695	566	148	554
ABCC10	4178	1307	627	1186	1134	1621	1081	1881	631	669	853	1111	1326	1215	1069	719	1032	1270	2615	1649	1056	1106	1773
ABCC11	176	1126	20	246	493	12750	41	145	281	3191	1981	4547	1012	5421	12017	1488	21974	928	6887	4	1833	4229	303
ABCC12	0	9	0	0	1	233	0	0	3	434	4	46	8	218	54	2	91	3	49	0	17	129	1
ABCC13	0	5	0	2624	1637	32	1190	0	5	1759	6	1071	22	1102	10	2	0	120	93	0	3	20	77
ABCC1	3556	2653	2745	6912	4083	8244	3319	4625	1369	4157	4324	4391	5273	2420	7729	3606	4626	2300	3722	6232	4058	3517	5226
ABCC2	354	9	77	50	42	20	4	86	52	12	4	30	11	41	30	22	1748	25	24	185	47	31	37
ABCC3	158	970	187	901	345	1012	2613	1217	1909	5024	452	1464	505	540	1339	43	1633	1182	570	122	2247	3883	1979
ABCC4	1765	270	141	557	409	494	241	157	95	13	464	310	341	155	1198	1308	446	453	675	2189	694	361	341
ABCC5	1530	794	5043	9075	4166	6214	4344	4109	4867	1984	8390	7532	11110	3215	3455	8580	5452	5513	12954	3367	2094	3222	1879
ABCC6P1	0	136	0	0	19	28	2	5	9	2	3	17	21	8	6	17	18	5	2	0	29	9	2
ABCC6P2	11	83	7	14	25	235	18	143	17	96	93	57	109	4	47	45	40	130	42	6	124	24	17
ABCC6	92	316	9	52	322	387	22	154	287	298	644	472	364	43	401	828	222	129	107	9	331	73	43
ABCC8	0	722	475	306	241	1900	160	131	631	402	2008	474	1061	316	1779	50	11	259	87	0	520	2295	289
ABCC9	194	377	209	452	1024	1128	594	1033	127	223	405	972	331	203	1045	591	3980	890	1695	238	1026	554	616
ABCD1	3920	1020	654	1946	892	957	343	1023	900	1064	1331	1124	838	1190	2456	1055	1045	741	1021	773	594	773	962
ABCD2	14	63	1	106	64	42	23	13	2	0	56	7	8	11	84	31	311	128	60	100	28	39	14
ABCD3	3803	3588	11050	12676	7962	10407	9744	5070	5825	5462	9547	4929	8826	10286	3760	13845	7080	6148	5041	4435	10970	11672	13059
ABCD4	325	956	1009	2219	1255	1748	940	1446	937	907	1326	1418	1729	1343	1789	1094	1137	1085	1235	595	1260	1932	1477
ABCE1	5348	3749	3168	7332	4923	7509	4566	3585	1862	3100	4716	6285	9392	3614	12044	5629	3612	7168	9425	6201	8542	4830	5923
ABCF1	6220	4750	3162	8184	4569	5082	4700	4667	1964	2383	4529	6155	10056	5440	4682	3545	4101	8139	7211	11620	5557	3537	8527
ABCF2	4070	3631	2056	11867	3397	5885	3643	4092	1897	2860	4573	4632	5676	3761	5640	3311	2708	2565	4838	10509	5651	3829	2969
ABCF3	2055	3057	3515	5189	2649	3569	2590	4319	2471	2296	3157	6446	3693	3814	4799	2885	2405	4683	3314	3292	3552	2568	3384
ABCG1	317	2423	2021	6185	1405	3649	3476	1549	1383	2113	8491	4287	1603	1087	6689	2466	2176	2183	2513	724	875	3017	9154
ABCG2	15	301	104	317	369	146	238	336	185	72	221	139	258	91	322	1269	318	628	368	55	206	197	103
ABCG4	16	6	5	10	7	2	10	15	8	5	8	8	13	4	11	6	8	4	6	2	4	6	11
ABCG5	3	1	8	30	6	5	1	6	7	5	6	8	5	4	2	6	4	3	2	58	2	10	10
ABCG8	1	4	0	2	0	1	0	26	3	3	7	0	1	0	0	1	10	1	1	16	0	1	0
ABHD10	993	1602	2945	2190	1678	2596	1505	1468	1856	1712	2274	1950	1925	1693	3137	3864	1293	2845	1867	2382	1847	2580	1400
ABHD11	1910	2591	1680	11372	1614	1883	2148	4464	2597	5407	1941	4534	4968	4737	3053	3367	2093	4484	4732	1920	1359	2071	3336
ABHD12B	0	2	34	2	2	7	1	14	2	39	23	2	816	1	4	5	3	0	1	3	258	25	483
ABHD12	3224	3881	8932	5117	3151	5119	1267	3059	6122	4427	11648	4130	6788	5584	8291	6913	4572	2417	4256	10423	2624	4299	7659
ABHD13	1905	799	1190	1568	1287	1555	1316	886	331	778	1415	1984	1075	1308	1692	940	1103	876	2183	2183	2053	1943	1903
ABHD14A	317	986	1301	549	633	833	387	600	2767	2308	1105	1366	1200	561	1092	662	607	1230	509	402	584	1034	559
ABHD14B	2805	5507	8203	2436	3985	4789	2819	2930	5272	6901	5040	6729	7845	3667	6125	3053	4166	3415	4120	2054	4979	4990	3466
ABHD15	820	892	1721	1443	916	950	474	1045	562	972	1267	800	1003	814	4285	1515	2054	1255	1507	261	916	1196	982
ABHD1	34	64	10	9	55	103	38	93	57	353	28	145	351	30	221	131	46	74	52	12	49	79	32
ABHD2	5139	11446	7006	13784	11394	29661	21434	8441	4028	6587	36422	29227	12094	28532	35528	84553	9343	15704	12497	2868	22143	15724	19144
ABHD3	1363	495	7378	1698	1134	862	892	849	1490	1011	4408	2684	834	927	2285	1916	1575	1527	4477	1858	1253	1495	2922
ABHD4	983	1545	1938	4832	2476	3429	1731	4292	1833	2553	3390	3629	2900	4009	5473	1970	2378	1770	4356	482	3002	2646	4775
ABHD5	2498	2835	2699	2280	2839	3427	2526	1387	1102	1553	3583	4003	3342	2000	2882	2500	3652	4355	3048	5500	3689	2944	3261
ABHD6	522	345	427	214	384	413	135	205	141	153	522	525	326	330	599	467	459	327	397	393	303	227	174
ABHD8	534	948	671	421	670	803	464	1987	1153	955	926	991	505	235	912	841	613	504	485	1519	787	630	688
ABI1	6518	4000	3942	4830	3872	5850	4396	3325	1721	2387	4270	5509	4974	4027	6217	5321	2899	5196	4668	5602	6062	4826	5531
ABI2	2211	2123	3169	5496	4983	9870	2831	2212	2462	3863	5146	4370	5462	2647	4118	2244	2392	2781	5148	4160	6190	6533	6761
ABI3BP	11	1487	145	1388	1933	2318	633	281	86	2427	1882	443	492	309	697	684	4117	2004	567	23	1582	1125	525
ABI3	96	631	195	887	387	486	187	472	753	189	506	256	569	183	590	162	478	669	796	271	464	606	419
ABL1	4772	3913	6399	10188	7744	10817	5251	3424	2807	3731	10763	8325	6480	6819	7035	6039	5602	5014	8457	8968	9932	6167	8620
ABL2	4309	2536	2368	3075	3059	8594	3120	3692	1147	4072	3885	4095	4411	2782	5511	2518	3113	4136	5762	3392	6780	3514	3458
ABLIM1	8980	6317	6852	4349	12625	15850	3450	5131	3996	5048	11601	7931	2363	7115	2933	5455	9380	5500	2317	6486	9792	9432	5801
ABLIM2	248	111	52	293	207	357	34	389	253	419	287	148	389	52	341	230	127	106	125	337	205	285	1118
ABLIM3	276	951	1265	801	3313	5233	2588	649	5378	3584	1237	2298	2974	3313	1603	4023	3426	719	428	62	3906	4119	195
ABO	51	25	4	15	9	38	13	21	14	8	132	287	12	13	3	2	11	2	23	4	17	10	2
ABP1	10	52	4	87	18	10	1	14	1	0	42	7	19	4	134	4	72	38	33	118	51	6	34
ABRA	1	1	0	0	0	0	1	2	0	1	1	1	2	1	1	0	1	0	1	0	0	2	2
ABR	3253	4015	8880	4258	5640	7659	3463	3346	3900	3239	6963	3858	6616	4812	9448	5430	3867	5920	5366	4149	4726	5806	5440
ABT1	1672	2140	1759	3683	1094	1952	1111	2400	1142	1493	1234	1689	2301	1444	1816	1108	1165	1625	1923	4736	1666	1231	2361
ABTB1	506	707	1137	887	726	1514	841	1528	1922	1494	1090	1215	1120	1046	1333	1496	1013	1080	592	445	792	1294	2234
ABTB2	539	129	83	235	130	617	90	223	8	62	184	307	1668	99	1251	171	122	224	577	2788	234	81	3409
ACAA1	2103	3823	4003	4177	3284	3707	1614	2503	4015	5329	3396	4494	3152	2833	3402	2145	2267	7126	3232	4898	2717	3923	2481
ACAA2	6985	2098	1987	2434	2087	3310	2604	2549	436	1900	4240	1878	2474	2883	5579	2155	3544	1642	7112	5948	2175	3956	6494
ACACA	14669	1918	14504	6235	9168	12289	7540	16397	2507	4722	10821	6378	9828	4362	19372	12953	11523	42479	17412	2022	7591	5676	3740
ACACB	36	637	352	1695	3258	1400	875	1058	1130	222	6770	610	3474	956	3002	1151	9011	563	1204	208	3248	2308	2768
ACAD10	2233	1309	2085	1591	1413	2594	1837	1966	1059	1644	1996	1273	3529	3491	3999	1298	1085	779	1216	1456	1094	1587	1631
ACAD11	218	791	1029	488	628	1587	580	1106	849	1899	773	842	1339	674	635	1121	560	1020	719	382	1109	1373	1004
ACAD8	1015	1146	861	1657	772	1222	971	636	587	1134	1337	2079	1127	2596	2065	1332	815	1619	1033	1393	904	2330	2624
ACAD9	3685	3078	3833	4070	2257	2299	2152	4264	1894	1669	2606	3992	3953	2852	3584	2608	1747	3051	2588	2529	2298	2615	3974
ACADL	4	4	0	1	30	9	9	8	7	0	12	4	2	0	4	1	222	466	8	4	19	95	4
ACADM	1186	1355	2660	2914	3138	5411	2987	2188	1599	820	3808	1420	3153	3205	4105	1815	3292	2892	3346	3773	3996	4079	5135
ACADSB	493	2996	18982	9127	4553	12650	14556	3379	3783	5077	5390	10286	3199	9006	19295	34156	7732	15971	14669	1680	4789	11104	3702
ACADS	576	434	108	831	860	544	949	921	1752	1390	2829	457	1568	1519	1383	1443	1185	1414	193	354	967	517	464
ACADVL	8939	10270	16221	10207	13525	12798	7779	15234	13952	32773	11734	9632	15747	7558	13397	7256	6187	12440	9634	4764	9635	17899	15914
ACAN	1757	113	69	130	65	160	35	314	64	334	170	263	239	147	429	21	90	124	361	1342	88	107	315
ACAP1	22	634	26	702	176	242	69	266	35	29	234	29	106	56	343	182	475	496	297	126	64	189	185
ACAP2	3369	2055	2829	4319	3716	5591	3599	1998	1278	2236	4843	6204	2905	2511	5769	3541	3759	6081	4722	2560	6243	4479	4272
ACAP3	904	2096	1162	6760	1381	2296	1109	1355	1931	2959	1449	2333	1833	1844	1630	768	1338	2168	1497	852	1440	1235	4698
ACAT1	4511	2473	4035	2573	2589	5633	2587	1528	1032	2480	4067	2909	4132	2692	6922	7779	3253	5548	2976	1406	2606	3425	2244
ACAT2	1094	989	985	3266	1728	1487	806	1375	984	818	1575	1840	1776	847	1747	802	423	1434	1762	1680	2322	1768	2692
ACBD3	6573	3196	4556	5873	6763	12622	4694	2942	2097	5033	11435	9018	8558	5115	12143	4925	4656	9327	10822	4542	8438	7830	5256
ACBD4	129	482	827	268	490	737	628	957	1385	1302	550	704	634	211	799	947	603	402	287	49	539	654	499
ACBD5	2970	2215	2775	2459	2473	3519	2948	1267	1070	1825	2560	2866	2672	2209	5654	6700	2410	3015	3541	1876	2424	2863	2785
ACBD6	1163	1362	1879	992	921	2709	941	1621	1357	2566	2179	2523	1772	1285	2369	1222	1328	1512	1408	2320	1681	1641	2351
ACBD7	100	24	230	303	101	142	240	104	97	36	243	130	341	63	212	35	76	82	141	1223	198	141	329
ACCN1	0	28	85	83	48	3	0	50	0	5	76	4	3	264	3	2	2	0	6	2	184	42	142
ACCN2	936	45	2129	169	105	194	125	281	258	300	2419	766	218	194	1738	1111	103	1243	361	488	243	135	89
ACCN3	6	53	85	65	60	65	7	59	121	155	20	51	76	110	16	90	10	28	127	141	19	60	19
ACCN4	5	2	5	0	0	5	1	11	4	0	3	4	2	3	3	13	1	8	17	3	2	4	4
ACCN5	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0
ACCSL	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ACCS	207	574	335	188	472	483	703	580	833	1015	322	504	377	640	251	173	316	413	665	471	564	753	349
ACD	657	787	1170	1452	455	899	378	856	916	653	1177	500	1002	977	1693	569	592	681	941	873	704	814	2038
ACE2	21	43	1	16	9	9	3	5	2	4	2	21	3	0	0	2	5	1	6	132	10	9	7
ACER1	0	2	0	0	2	2	1	67	0	0	0	4	0	1	3	1	0	4	0	0	0	0	1
ACER2	211	124	384	796	598	1012	663	62	100	239	1174	737	550	187	354	699	450	481	1705	41	879	707	266
ACER3	1424	675	715	1470	1164	1723	613	834	416	1691	1318	870	746	692	1098	1554	1319	1600	2238	1440	4376	898	3057
ACE	209	691	1446	2120	955	761	495	2329	648	1346	1437	1292	2254	3571	3321	2071	2802	1953	1734	3169	2172	1271	844
ACHE	17	55	54	58	19	31	20	20	18	42	27	25	25	39	781	35	54	52	96	36	25	13	20
ACIN1	5197	6012	11427	9166	8826	13116	4458	10739	9185	12888	10956	10414	7436	9867	10640	6727	6515	8078	11844	8376	10201	9318	12137
ACLY	11216	6870	15030	14438	11836	23936	11491	15777	4795	8156	13796	19047	19167	9193	66405	12884	17813	25476	24388	9246	15620	12783	7306
ACMSD	0	9	462	1	18	2	0	274	24	108	86	37	0	0	3	0	9	1	2	0	8	868	0
ACN9	534	250	19	355	409	617	462	720	54	671	276	250	110	304	518	553	270	508	425	1319	543	325	307
ACO1	2822	1693	1623	2929	3180	3037	1647	1924	1590	2034	4138	4368	3040	989	3385	2517	7338	3341	2800	2945	5051	3982	2857
ACO2	5043	3490	10232	15354	5867	8219	3826	7293	4993	4823	10668	6399	10710	4764	20122	7276	5644	9110	8876	13287	6485	8870	5480
ACOT11	479	55	16	94	94	78	134	237	249	61	244	172	45	77	314	37	79	97	94	403	261	173	111
ACOT12	0	0	0	0	1	0	0	0	4	1	1	2	0	0	0	0	0	0	1	0	0	0	0
ACOT13	1505	1901	1146	4700	1202	1897	1767	2875	1651	2242	1077	1557	1975	1487	2501	2274	1239	2783	2806	2622	1561	1927	1981
ACOT1	729	1589	1805	1702	1436	1714	694	2107	1002	3294	1386	1496	1697	3388	2444	8990	2477	1595	2646	937	1445	1482	613
ACOT2	539	1191	1338	1170	1042	1548	918	1069	675	1321	1176	1074	950	1991	1783	2399	1522	1052	1513	539	1070	1048	436
ACOT4	229	808	1077	718	795	1182	646	331	975	1592	785	1241	1016	1935	1255	582	930	534	1222	380	871	1458	261
ACOT6	0	32	6	6	6	7	3	12	7	24	3	4	11	21	3	14	20	3	7	1	9	8	4
ACOT7	969	1044	1277	3222	1388	1453	739	1995	814	1384	2394	1314	2334	883	5041	1123	1160	1352	1475	3111	1354	1903	5823
ACOT8	860	817	931	2976	597	1119	574	957	842	1012	1428	1124	1736	1222	1519	1240	491	1271	838	655	497	895	6774
ACOT9	864	868	506	1335	838	1675	817	1204	594	488	650	722	1771	785	732	226	1154	3524	1606	1623	1918	1249	784
ACOX1	2945	2687	3797	12248	4514	5446	1970	3636	1635	3268	4545	5620	4492	3136	14671	4064	6431	5723	7038	5310	5017	5219	4015
ACOX2	780	1897	1700	511	327	1475	76	861	591	7377	576	423	87	1389	366	110	2424	280	401	25	250	5248	430
ACOX3	1185	1878	476	6346	2395	4462	3433	1544	712	1328	3408	1949	3013	1169	1676	1609	745	1638	4012	982	2401	1863	3476
ACOXL	27	0	1	10	5	8	13	2	9	7	8	9	1	2	142	10	2	47	10	0	5	2	5
ACP1	4141	3570	6758	5433	3518	5595	3097	6036	3094	4276	3939	6353	6775	3553	5179	5359	3900	4525	4962	14021	4485	5381	6406
ACP2	1232	4169	1383	6437	3610	3653	3704	2736	2387	4028	3019	3338	5803	4157	3244	2103	2175	3159	6400	2678	2495	3667	4549
ACP5	1616	3916	1977	3525	1502	3311	986	1777	3584	4408	3894	1775	4108	3572	6918	950	3312	7647	5216	1185	3705	16945	1995
ACP6	661	792	1090	585	591	1467	690	538	960	2341	1197	1267	796	856	1306	812	666	808	498	1330	7529	1705	613
ACPL2	746	1187	1960	1098	1447	3400	1090	2653	753	1150	1463	2275	1431	1212	1370	2482	737	2614	1951	3438	1918	1849	946
ACPP	21	82	30	97	54	82	17	99	48	31	68	55	64	54	51	19	147	91	217	15	313	62	68
ACPT	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7
ACRBP	46	64	21	124	104	46	23	55	32	98	73	57	282	69	1036	24	32	121	96	91	155	62	44
ACRC	8	57	30	20	37	30	52	64	81	40	29	37	50	70	25	8	39	36	30	55	48	49	167
ACRV1	1	0	1	10	3	3	3	4	0	1	3	0	1	3	1	8	4	3	2	10	0	6	44
ACR	8	2	1	7	11	5	1	10	4	12	1	1	13	4	3	3	8	5	3	41	4	6	53
ACSBG1	5	10	5	10	6	21	11	14	5	8	14	13	8	9	10	3	8	4	21	24	31	9	8
ACSBG2	0	8	0	2	2	3	1	7	1	13	2	0	2	4	0	8	2	12	2	2	4	12	4
ACSF2	771	2813	2296	3378	1589	6707	2382	2764	2326	3871	1240	4329	2444	1727	2244	760	1605	1026	6447	243	2727	2745	3329
ACSF3	750	587	1113	1672	565	923	512	1029	292	393	1491	852	893	1339	2342	496	537	544	1552	728	846	536	1256
ACSL1	4102	3334	2062	7664	5828	2835	3579	3723	800	278	3987	16924	11136	2189	3321	10520	18287	4706	6820	6052	6840	4065	4438
ACSL3	8189	10403	9559	13451	10588	19747	6949	5508	2718	5538	13376	12846	19128	8151	11484	7402	10151	15888	29699	5014	13992	11063	11732
