	TCGA-BH-A18S-01	TCGA-E9-A22D-01	TCGA-D8-A27L-01	TCGA-S3-AA14-01	TCGA-E9-A1NI-01	TCGA-E2-A1IU-01	TCGA-E2-A1IF-01	TCGA-E2-A15K-01	TCGA-C8-A1HO-01	TCGA-D8-A1X9-01	TCGA-D8-A27M-01	TCGA-A2-A0CT-01	TCGA-E9-A227-01	TCGA-AR-A1AW-01	TCGA-A8-A08I-01	TCGA-AO-A0JJ-01	TCGA-BH-A0EB-01	TCGA-A8-A07O-01	TCGA-A2-A0CK-01	TCGA-E2-A15D-01	TCGA-E2-A1B5-01	TCGA-EW-A1P5-01	TCGA-A8-A06P-01	TCGA-BH-A0HQ-01	TCGA-A8-A079-01	TCGA-A2-A25E-01	TCGA-A7-A5ZX-01	TCGA-A2-A0ES-01	TCGA-C8-A1HM-01	TCGA-E2-A10C-01	TCGA-A8-A09N-01	TCGA-AN-A049-01	TCGA-AR-A2LN-01	TCGA-E2-A1B6-01	TCGA-C8-A134-01	TCGA-D8-A1XR-01	TCGA-A2-A25C-01	TCGA-BH-A18K-01	TCGA-D8-A1JL-01	TCGA-BH-A0DL-01	TCGA-E2-A155-01	TCGA-AO-A0JF-01	TCGA-A8-A07Z-01	TCGA-C8-A26V-01	TCGA-D8-A73U-01	TCGA-D8-A27F-01
A2M	16062	42276	58553	22651	13615	20992	28484	17621	19866	51178	48950	18585	48336	41120	44306	56716	56648	22559	30891	33130	37801	14371	60404	27143	17220	38647	65257	92659	10317	14636	15098	25320	40318	66795	67995	24622	51399	28928	94015	21342	17572	65964	15093	23623	50293	149728
A4GALT	1019	520	1849	418	1118	269	1774	368	1082	451	2306	513	482	651	361	1066	639	1505	747	818	1036	288	1749	509	1480	1176	696	1131	599	795	289	910	660	752	1811	412	834	786	537	2689	229	1060	1270	611	994	1975
A4GNT	0	0	5	3	1	3	0	0	1	3	0	4	6	0	5	0	0	0	1	2	6	0	2	0	2	2	2	5	2	0	1	0	1	2	4	5	7	1	9	0	1	0	3	0	1	5
AAA1	0	2	10	0	0	0	0	1	0	0	0	0	0	0	0	6	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	3	0	0	0	0	1	0	0	0
AAAS	1816	3571	2418	1545	1913	1560	2018	2557	1262	2911	1322	1341	2314	1539	2468	1677	2597	2174	2304	1778	1628	2454	2067	1658	2483	1864	2032	1641	2223	1844	1922	1870	1021	3250	1767	3363	3317	1714	1129	1388	1912	1443	2757	2941	1436	1252
AACSL	0	0	3	1	0	5	0	0	0	3	1	1	0	0	0	0	0	3	1	0	0	9	5	0	3	1	1	2	0	0	0	5	0	3	0	0	10	3	0	109	6	0	1	0	2	5
AACS	3230	5493	3692	2747	1894	2932	2206	2455	1301	2670	3422	1661	4789	1096	4993	2327	3601	3372	2125	2921	1725	2616	4985	2034	3732	7024	1947	2089	1148	1258	5069	2302	915	5154	4159	3661	4848	3600	4318	4141	5064	2021	3491	5828	1336	5790
AADACL2	0	0	2	0	2	0	1	0	0	0	0	20	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	3	0	0	0	0
AADACL3	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	5	0	0	1	0	2	1	0	0	0	0	0	2	0	1	0	1	3	0	0	1	0	0	7	0	0	0	0	0	0	5
AADACL4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
AADAC	2	1	7	1	1	0	1	0	0	0	4	26	0	3	1	0	0	20	6	8	7	0	43	0	0	7	0	11	12	0	0	4	9	4	0	12	4	3	4	9	1	160	0	0	0	27
AADAT	78	39	142	150	51	13	101	28	294	303	126	253	58	48	797	66	100	298	71	52	43	23	120	64	60	336	128	94	65	29	55	56	60	435	501	57	274	136	206	475	13	73	15	47	70	1466
AAGAB	5546	8722	7884	3319	5253	5507	2569	5005	7338	9311	3719	2908	5739	3156	5378	3759	5779	6967	3288	6025	4908	6939	8348	3130	5854	8328	3145	3835	5834	3157	5985	6288	1771	6469	6908	7467	13756	3510	5692	5444	10512	4108	3917	7968	1814	3149
AAK1	2649	2139	3686	1703	1140	3085	2637	1793	2032	3589	4038	1114	2661	4085	6135	3339	3054	2416	1388	1979	3326	2096	3080	1915	2869	2836	1876	2788	1409	1243	1205	2924	2578	4524	5588	3072	3949	2523	6101	2805	2614	2695	1153	7138	2800	4384
AAMP	8225	9650	8097	2830	4353	7455	7384	6437	6077	8021	7231	5454	8048	4826	9021	6480	7053	14786	8040	5667	5237	6583	8581	6793	9408	6541	6520	5796	7233	6986	3263	9045	4270	12663	14829	6466	8441	4785	9102	8924	7613	4899	6612	11936	5389	4604
AANAT	0	0	0	0	1	0	0	0	3	0	1	1	0	1	1	0	0	1	2	0	0	3	1	0	0	0	1	0	1	0	0	0	0	2	1	0	1	0	1	1	1	0	0	2	4	9
AARS2	1271	1808	1498	986	809	1021	956	1469	915	1708	1541	675	1090	1378	2312	735	1529	1304	1504	1212	632	1398	996	1672	1137	719	1203	1017	1252	614	1714	1067	962	2396	3190	2225	2713	1441	1975	1218	703	840	608	1903	1044	2514
AARSD1	2513	1567	1664	800	1397	1248	1769	1525	770	2731	885	1806	2225	1225	1312	1351	1971	1210	2082	1281	735	2191	1762	1439	1123	2148	1659	1030	868	1517	677	1764	773	3012	1906	2389	2539	2069	1536	1412	807	1175	921	1532	992	1293
AARS	11104	8647	6877	5429	5085	5229	3745	4274	16461	18755	24645	4718	5564	7106	33510	5973	6497	18905	3854	5195	3921	13951	7817	5149	9544	14193	4883	5269	7352	5044	9450	4527	3234	14755	25188	8468	10420	6212	24826	18021	10830	4858	8529	11909	4542	28549
AASDHPPT	1810	3001	4427	1867	2039	1341	1572	1337	2474	2531	1817	5865	2737	1938	2996	2073	3701	4681	1022	2597	1745	1932	2638	1973	2334	3104	2099	2293	2253	1426	3147	1569	1356	3386	4144	5655	3908	4088	4956	3088	2177	2200	1423	4949	1206	3875
AASDH	1528	1218	1602	781	596	1133	367	830	1242	1224	1025	1638	945	1232	1435	904	676	1608	656	1090	425	741	968	589	810	1101	972	882	843	507	783	375	648	920	1310	954	1114	764	1370	743	1425	940	474	1537	406	1119
AASS	804	589	1132	516	338	535	460	493	297	539	678	107	813	707	2007	856	399	291	1073	771	394	187	317	722	164	839	1481	1805	483	106	125	142	839	1161	276	784	1026	529	1178	626	200	623	473	419	610	336
AATF	3337	7654	3133	1262	2412	2906	3263	3016	2878	5696	2079	6424	4123	3899	4804	3454	3425	4925	3892	3130	2268	4142	3283	3556	3131	4091	2988	2231	4025	2397	2023	8730	1847	6673	5283	5676	5116	3394	4398	4214	6733	2201	1892	2703	1979	2699
AATK	205	241	136	44	181	423	139	106	197	782	98	305	224	75	95	168	33	34	1028	282	62	181	110	117	1641	153	246	169	50	71	30	250	121	309	158	548	54	43	552	79	13	58	31	203	77	90
ABAT	2991	6502	16526	4283	12598	13236	9783	16580	2952	2060	389	359	5139	5331	3780	3844	12127	136	1074	3830	1316	11055	10131	10219	939	1218	2015	4720	3272	6611	1988	5089	2799	1499	1144	6968	16501	5591	983	470	1513	3762	8529	6839	2551	219
ABCA10	15	20	191	200	9	23	172	5	28	29	30	1	90	100	40	193	33	11	88	139	114	5	24	40	6	162	365	444	4	26	14	26	235	116	50	27	111	61	7	11	34	66	1	28	50	31
ABCA11P	352	193	553	146	166	218	245	236	408	243	295	418	312	431	127	221	260	219	320	384	215	242	313	322	269	919	497	413	199	451	208	348	200	548	581	450	438	333	277	268	330	335	113	964	147	270
ABCA12	174	1129	4715	14	773	1342	264	2383	296	3384	2394	132	424	3	1005	425	7	37	30	1569	2191	3872	274	991	1980	110	337	301	1236	543	1279	40	48	12	271	7595	24716	1238	750	12896	71	513	149	21173	1439	106
ABCA13	1	0	23	1	1	11	2	0	1	7	981	59	24	2	1	3	1	144	6	4	6	2	1	11	0	0	6	54	0	2	1	1	5	238	232	2	31	3	164	121	0	44	0	11	2	6248
ABCA17P	18	14	52	11	45	27	42	21	8	30	23	54	64	8	27	17	27	5	61	21	7	11	15	44	18	10	37	12	12	31	18	10	12	49	113	53	14	70	43	9	10	20	32	26	5	15
ABCA1	852	2114	4169	1776	901	553	730	986	3149	5806	4070	699	1797	4633	5583	3747	2006	5036	1249	945	5017	1334	2739	1506	2378	2191	1763	3543	1949	1248	1080	1584	2923	2510	2366	2498	4942	1866	7205	7372	1196	2426	492	5882	2330	2784
ABCA2	1897	4341	9025	1598	1399	2803	2993	3418	6319	1997	7014	1334	3689	2237	5625	2971	2107	5920	3505	6203	1534	4250	5593	3612	7712	4535	4294	3845	1863	3838	2250	1268	2422	2381	4077	4524	3124	1403	4288	3677	9946	3566	4262	3950	3644	611
ABCA3	2480	8214	10664	5501	4735	7328	4001	10488	10205	7752	2783	4275	24964	1838	15421	2023	6800	1555	4082	8792	1979	9006	18038	17139	9229	2480	2079	4712	521	11695	8416	5599	1905	3725	3812	24060	16425	8336	3155	1986	7409	3387	15527	4144	3926	3032
ABCA4	62	23	754	1497	287	432	24	1113	6	27	5	60	16	6	10	42	385	7	41	12	13	309	695	205	868	30	133	445	103	195	210	23	1543	47	1386	139	328	691	300	6	11	498	46	108	180	289
ABCA5	1259	539	725	1341	475	1067	559	115	1488	1510	1076	1057	1385	523	1445	1060	447	541	615	780	611	539	355	354	312	2430	1371	1582	422	115	326	501	831	1801	2042	1279	427	430	1637	453	1812	665	738	2372	433	1013
ABCA6	38	283	962	410	98	116	322	173	149	752	428	60	482	1193	1558	695	360	27	260	412	341	36	618	180	58	313	506	1204	33	122	185	288	658	353	186	221	726	359	380	131	132	1009	18	77	292	184
ABCA7	389	1392	1374	1412	238	801	1366	1669	1056	487	1617	869	1573	1510	1574	1758	618	2041	589	1246	463	1451	701	825	440	652	729	891	314	888	591	819	563	2618	1757	845	1403	721	416	1084	2155	889	1050	727	1717	926
ABCA8	12	105	1824	650	11	131	556	251	48	147	300	78	301	1055	75	1614	90	4	621	850	459	20	784	269	59	531	1073	2245	23	52	70	255	1179	142	94	166	1168	320	54	29	247	2199	24	8	170	421
ABCA9	20	312	861	335	71	56	181	66	57	366	304	52	394	700	180	466	367	1	186	202	393	30	542	113	36	358	910	1128	24	45	62	216	661	319	94	120	464	237	142	83	58	644	14	13	207	131
ABCB10	2918	1536	1446	928	1276	1418	877	1734	1054	909	1533	467	1256	1535	3339	1515	1362	2500	939	2450	839	1094	825	1418	1296	2121	1127	958	1264	688	749	1061	798	1331	2225	3265	3773	2519	2247	1867	1542	1587	1121	2692	1085	3048
ABCB11	3	1	12	2	0	6	0	9	0	0	29	1	0	6	25	4	0	3	0	0	1	2	0	1	0	0	0	1	2	3	17	0	5	14	2	4	1	2	4	0	1	3	1	1	3	0
ABCB1	147	845	448	255	41	205	144	186	107	93	299	199	579	621	662	412	257	58	151	318	604	35	55	131	48	193	576	801	168	75	98	118	500	519	233	51	360	171	235	107	61	523	70	127	408	103
ABCB4	25	206	205	39	76	70	87	90	19	304	206	470	168	242	64	72	96	7	48	108	157	55	150	51	46	77	29	35	29	106	63	58	53	365	64	365	212	165	170	54	43	123	60	106	79	39
ABCB5	9	10	20	2	1	1	65	7	0	5	9	15	22	8	4	19	9	2	27	2	3	10	12	1	4	9	17	52	0	0	2	22	107	5	6	3	20	22	6	0	3	4	13	4	6	7
ABCB6	1648	1407	1367	744	775	1323	1235	1283	3087	1589	1546	1758	1664	885	1667	1431	739	3707	1262	1624	857	1640	889	954	1601	4396	1013	695	1095	571	1204	2079	548	3243	2473	1387	1548	781	4075	3835	1603	1030	857	1688	498	1509
ABCB7	1678	2116	1433	779	635	1414	835	1092	1212	1587	1499	1160	1551	949	2880	1821	1631	1471	1113	1201	1169	451	1520	1045	1701	949	1084	1322	1915	510	1200	1070	973	1997	1943	2237	2618	1318	2180	1895	1404	1560	847	1016	798	1625
ABCB8	1413	3220	2387	2517	1803	2378	2241	3121	2082	2624	1921	857	2823	2159	2009	1682	1159	1589	1896	3129	1212	1906	2384	2418	2026	1623	1730	1146	598	1974	2513	1073	943	1998	2519	3718	1523	2974	1024	1505	2589	1646	3345	2966	1742	2162
ABCB9	94	1372	587	313	868	1225	888	1199	618	525	446	473	402	283	910	593	850	590	317	435	619	1584	634	267	1001	899	281	218	360	311	679	1200	170	577	1889	529	829	466	3040	551	1047	410	683	1084	207	326
ABCC10	911	1440	1761	1025	640	755	939	980	1651	1624	1824	853	1092	1594	2178	552	800	1662	1050	1139	621	950	1117	976	735	1375	1003	1009	603	771	646	1012	777	2524	3312	1354	2181	1764	3624	1362	885	688	480	2083	1236	2321
ABCC11	20387	13226	2119	9019	1084	7840	8333	1132	532	610	16	6542	1498	89	133	2615	2192	17	41	845	3971	5718	1469	2195	815	1567	966	521	641	2104	790	203	1077	2	24	7144	2179	1667	433	1	430	2097	3535	13948	1946	16
ABCC12	262	374	14	131	9	26	477	4	6	6	0	14	22	0	1	9	8	0	0	13	14	165	3	49	2	6	3	5	6	387	0	5	207	0	0	684	18	63	4	2	0	3	14	173	54	0
ABCC13	8	48	1146	100	23	1	8	0	220	0	1	3	60	0	2	2	218	5	80	163	0	3724	422	22	72	1961	17	34	109	34	20	317	0	0	0	316	425	946	2	0	0	171	0	81	0	2
ABCC1	1214	3420	7353	2199	2686	3507	3965	4890	2023	7350	2090	3188	2287	4125	7644	2873	2838	9478	1842	4229	2765	5923	5419	2993	3522	3721	2127	3166	2787	5087	2852	5780	2093	6720	13275	4050	3487	2289	7111	4870	3347	2513	3853	6381	2643	4362
ABCC2	22	8	60	119	15	14	8	6	13	22	15	7	9	89	87	9	10	18	10	26	28	835	31	11	20	28	13	23	7	23	5	33	176	16	560	21	22	14	31	4	11	22	1	237	27	400
ABCC3	93	495	1277	396	376	997	1554	716	394	2356	1539	712	360	1133	1941	1095	870	290	704	2024	698	5802	1647	954	701	1336	3376	2138	435	1344	97	1386	2576	2045	545	263	747	394	1673	1029	74	1087	89	989	2746	571
ABCC4	110	655	952	419	155	241	242	219	115	556	1687	404	473	845	737	499	655	2842	135	315	2321	277	450	282	135	709	188	378	925	96	363	276	322	711	328	383	582	306	1254	341	848	848	110	699	605	1922
ABCC5	2350	5006	8919	1662	2908	6483	2829	5867	3437	4602	3072	12469	1759	1901	1554	3129	6460	4454	3678	2674	2651	4093	1650	2891	6301	16756	3121	1752	2405	5147	10094	6048	2172	2501	3193	11032	11523	7152	4991	3303	17076	4326	1361	12056	2486	3260
ABCC6P1	126	0	12	2	7	4	6	1	5	10	5	30	0	20	50	20	6	0	1	16	0	1	1	7	9	16	0	6	22	56	116	0	5	0	3	0	0	0	35	0	2	16	12	13	4	0
ABCC6P2	141	55	64	33	105	91	262	13	18	56	5	197	8	60	161	59	92	30	30	99	8	11	29	28	59	17	26	34	47	662	233	4	9	43	107	8	22	13	66	3	76	98	49	82	13	3
ABCC6	489	17	179	87	138	150	142	153	60	363	28	486	15	236	726	300	57	53	233	324	51	38	87	109	287	52	130	213	134	724	917	20	165	106	116	28	176	29	291	8	1095	306	265	184	51	18
ABCC8	6662	212	282	1718	136	994	109	461	1591	497	0	530	298	457	2136	554	999	33	471	1325	39	528	85	161	864	244	562	171	67	92	17	132	334	4	4	133	441	434	6	0	180	174	56	472	168	0
ABCC9	137	234	1383	395	421	305	374	415	230	1046	683	305	752	546	278	1148	752	103	359	1061	452	82	1433	356	204	890	256	1357	135	173	337	470	1148	223	334	1334	1533	839	938	288	479	3027	155	352	398	947
ABCD1	623	1049	1259	594	883	807	836	1372	1163	2283	1996	702	1078	870	1528	1048	1193	3239	826	854	1085	2514	1473	856	838	475	696	609	1508	1530	1126	2104	512	2966	3506	1498	1146	1257	2077	2545	1415	732	1420	3908	1122	3939
ABCD2	10	262	104	19	4	34	18	74	19	36	463	12	69	486	337	237	43	20	25	225	304	10	28	13	14	22	15	67	149	33	9	12	126	377	69	22	80	19	91	48	17	225	6	27	167	38
ABCD3	8236	6115	12779	8408	4856	10982	4479	8016	9995	14806	3073	8984	9519	2744	18037	4952	8761	6867	2972	3637	3164	5498	8666	5441	16441	17127	5119	7881	3366	1937	10468	9856	3553	2076	7210	9884	5892	7962	9656	7455	20125	7257	7314	8988	1397	4089
ABCD4	1539	2777	1900	1060	963	1068	1151	1722	1135	1455	1170	1124	1424	1374	1961	1435	1375	349	1901	1448	1211	1077	1476	818	1053	934	2085	1650	705	1388	726	1031	1068	2080	1184	1627	2703	1931	1285	1820	645	1443	821	1062	1642	754
ABCE1	5805	5832	5557	2490	2548	3244	2594	3213	7852	8289	5450	6267	4778	5347	5395	4277	4096	14713	2499	4401	3189	3500	3815	2923	5780	8640	3024	4228	3618	2293	5256	3378	2365	6720	12640	4379	4978	5282	10382	6984	7648	4416	1641	10255	1695	6012
ABCF1	4427	9597	6616	3960	1546	2930	3402	4957	6420	8303	6168	5510	4985	5610	7906	2488	5657	9548	4349	5605	3349	4638	6514	4708	4815	4280	3423	3400	4686	2678	5922	4335	2747	10293	18990	7723	10444	5268	13294	6462	3091	3472	2996	8196	3212	14261
ABCF2	4268	5144	4365	2806	2259	2913	2714	3422	4151	6832	3644	1812	4498	3623	4757	2452	2680	8474	3016	3956	2672	3965	3749	3300	3471	4383	2233	2892	1975	3219	3704	2103	1694	7099	12832	4887	3339	4666	5789	4966	4483	3043	3527	6399	2166	6389
ABCF3	3625	6482	3433	2322	2516	3020	3157	3072	3560	5241	2845	2706	3596	2922	3950	3129	4011	5096	3230	2530	2473	3328	4017	2579	3608	3142	2625	2287	2970	1418	3407	6277	1740	6981	4464	4153	4801	2479	6584	3279	3743	2553	2039	9026	2217	3581
ABCG1	2181	10597	2392	1244	817	2634	2598	5422	7580	5275	1654	5777	4259	4741	4159	3099	4336	862	4932	3187	10085	3598	3918	2059	2065	3172	1276	1450	2117	1957	2232	1703	2329	2671	5815	4123	3354	2348	3890	4256	4732	1698	2272	7240	2950	797
ABCG2	503	110	274	350	112	255	149	63	217	116	67	515	271	100	271	426	462	21	129	461	357	41	81	230	11	226	234	486	53	43	193	86	480	257	129	174	409	207	129	45	188	818	123	155	124	61
ABCG4	2	7	14	13	3	4	11	6	5	13	2	4	11	1	4	0	2	5	8	7	5	1	6	5	7	8	8	8	2	3	0	3	3	4	47	7	15	12	25	9	8	11	6	20	8	16
ABCG5	8	11	12	11	4	2	3	8	3	1	0	8	7	6	11	7	3	2	5	5	5	5	3	4	0	9	1	2	4	5	2	8	7	7	12	2	9	4	6	4	4	1	2	7	3	1
ABCG8	0	14	0	2	0	1	2	1	1	0	0	0	0	1	9	0	0	0	1	9	1	0	0	0	1	0	0	0	7	4	0	0	2	4	3	0	10	3	5	1	0	1	0	0	0	0
ABHD10	3052	1957	2270	1195	1494	1942	1365	2235	2872	2146	2101	1981	2839	1606	1910	2104	2259	2299	1823	1743	1607	1569	1650	1115	1560	2524	1514	1647	1238	2039	1768	2101	1260	6816	2835	6908	3297	2119	1314	1384	2386	1712	1225	3417	1186	1990
ABHD11	2285	6579	3449	4014	4194	1501	2611	1501	2259	5615	3160	1649	2317	1328	1361	1524	1636	1598	2219	4055	1918	1892	4634	3449	2999	2524	1433	1079	1460	9378	3955	733	1305	2707	2416	2560	4243	7213	2344	1860	3638	1089	1587	3961	946	3145
